11:54:54 PM: DEBUG [Conexion.py:22] Conexion exitosa: <connection object at 0x000001AC62F45590; dsn: 'user=postgres password=xxx dbname=prueba host=127.0.0.1 port=5432', closed: 0>
11:54:54 PM: DEBUG [Conexion.py:35] se abrio el cursor exitosamente: <cursor object at 0x000001AC62F5BBA0; closed: 0>
11:54:54 PM: DEBUG [Conexion.py:57] se han cerrado los objetos de conexion
08:48:44 PM: DEBUG [Conexion.py:22] Conexion exitosa: <connection object at 0x0000029E4B132150; dsn: 'user=postgres password=xxx dbname=prueba host=127.0.0.1 port=5432', closed: 0>
08:48:44 PM: DEBUG [Conexion.py:35] se abrio el cursor exitosamente: <cursor object at 0x0000029E4B150D60; closed: 0>
08:48:44 PM: DEBUG [Conexion.py:57] se han cerrado los objetos de conexion
08:50:41 PM: DEBUG [Conexion.py:22] Conexion exitosa: <connection object at 0x00000207D2BB2150; dsn: 'user=postgres password=xxx dbname=prueba host=127.0.0.1 port=5432', closed: 0>
08:50:41 PM: DEBUG [Conexion.py:37] se abrio el cursor exitosamente: <cursor object at 0x00000207D2BD0D60; closed: 0>
08:50:41 PM: DEBUG [Conexion.py:61] se han cerrado los objetos de conexion
08:52:37 PM: DEBUG [Conexion.py:22] Conexion exitosa: <connection object at 0x0000021B3CEC2150; dsn: 'user=postgres password=xxx dbname=prueba host=127.0.0.1 port=5432', closed: 0>
08:52:37 PM: DEBUG [Conexion.py:37] se abrio el cursor exitosamente: <cursor object at 0x0000021B3CEE0D60; closed: 0>
08:52:37 PM: DEBUG [Conexion.py:61] se han cerrado los objetos de conexion
08:54:07 PM: DEBUG [Conexion.py:24] Conexion exitosa: <connection object at 0x0000015E8DFE2150; dsn: 'user=postgres password=xxx dbname=prueba host=127.0.0.1 port=5432', closed: 0>
08:54:07 PM: DEBUG [Conexion.py:39] se abrio el cursor exitosamente: <cursor object at 0x0000015E8E001D60; closed: 0>
08:54:51 PM: DEBUG [Conexion.py:24] Conexion exitosa: <connection object at 0x0000017CA5992150; dsn: 'user=postgres password=xxx dbname=prueba host=127.0.0.1 port=5432', closed: 0>
08:54:51 PM: DEBUG [Conexion.py:39] se abrio el cursor exitosamente: <cursor object at 0x0000017CA59B0D60; closed: 0>
08:55:37 PM: DEBUG [Conexion.py:24] Conexion exitosa: <connection object at 0x000001A56A1C2150; dsn: 'user=postgres password=xxx dbname=prueba host=127.0.0.1 port=5432', closed: 0>
08:55:37 PM: DEBUG [Conexion.py:39] se abrio el cursor exitosamente: <cursor object at 0x000001A56A1E0D60; closed: 0>
09:00:08 PM: DEBUG [Conexion.py:24] Conexion exitosa: <connection object at 0x000001EDB91A2150; dsn: 'user=postgres password=xxx dbname=prueba host=127.0.0.1 port=5432', closed: 0>
09:00:08 PM: DEBUG [Conexion.py:39] se abrio el cursor exitosamente: <cursor object at 0x000001EDB91C0D60; closed: 0>
09:00:48 PM: DEBUG [Conexion.py:24] Conexion exitosa: <connection object at 0x0000013E33832150; dsn: 'user=postgres password=xxx dbname=prueba host=127.0.0.1 port=5432', closed: 0>
09:00:48 PM: DEBUG [Conexion.py:39] se abrio el cursor exitosamente: <cursor object at 0x0000013E33850D60; closed: 0>
09:01:10 PM: DEBUG [Conexion.py:24] Conexion exitosa: <connection object at 0x000001F67A8D2150; dsn: 'user=postgres password=xxx dbname=prueba host=127.0.0.1 port=5432', closed: 0>
09:01:10 PM: DEBUG [Conexion.py:39] se abrio el cursor exitosamente: <cursor object at 0x000001F67A8F1D60; closed: 0>
09:01:33 PM: DEBUG [Conexion.py:24] Conexion exitosa: <connection object at 0x00000290504C2150; dsn: 'user=postgres password=xxx dbname=prueba host=127.0.0.1 port=5432', closed: 0>
09:01:33 PM: DEBUG [Conexion.py:39] se abrio el cursor exitosamente: <cursor object at 0x00000290504E0D60; closed: 0>
09:06:03 PM: DEBUG [Conexion.py:24] Conexion exitosa: <connection object at 0x00000216E83B2150; dsn: 'user=postgres password=xxx dbname=prueba host=127.0.0.1 port=5432', closed: 0>
09:06:03 PM: DEBUG [Conexion.py:39] se abrio el cursor exitosamente: <cursor object at 0x00000216E83D0D60; closed: 0>
09:07:23 PM: DEBUG [Conexion.py:24] Conexion exitosa: <connection object at 0x000002A0F1522150; dsn: 'user=postgres password=xxx dbname=prueba host=127.0.0.1 port=5432', closed: 0>
09:07:23 PM: DEBUG [Conexion.py:39] se abrio el cursor exitosamente: <cursor object at 0x000002A0F153FD60; closed: 0>
01:25:39 AM: DEBUG [Conexion.py:24] Conexion exitosa: <connection object at 0x000001D56DCA7150; dsn: 'user=postgres password=xxx dbname=prueba host=127.0.0.1 port=5432', closed: 0>
01:25:39 AM: DEBUG [Conexion.py:39] se abrio el cursor exitosamente: <cursor object at 0x000001D56DCC4C80; closed: 0>
01:26:37 AM: DEBUG [Conexion.py:24] Conexion exitosa: <connection object at 0x00000215FFE36150; dsn: 'user=postgres password=xxx dbname=prueba host=127.0.0.1 port=5432', closed: 0>
